city,time,temperature_2m_max,temperature_2m_min,precipitation_sum
Berlin,2026-05-27,23.2,15.4,0.0
Berlin,2026-05-28,21.5,11.1,0.0
Berlin,2026-05-29,26.7,13.6,0.0
Berlin,2026-05-30,23.6,16.6,2.8
Berlin,2026-05-31,21.0,13.7,0.0
Berlin,2026-06-01,23.8,14.7,0.0
Berlin,2026-06-02,23.9,17.6,21.0
London,2026-05-27,26.5,17.1,0.0
London,2026-05-28,31.0,16.1,0.2
London,2026-05-29,24.4,17.6,0.0
London,2026-05-30,24.5,16.1,0.0
London,2026-05-31,20.4,15.1,0.0
London,2026-06-01,21.1,15.1,2.7
London,2026-06-02,18.2,13.7,2.2
New York,2026-05-27,30.9,19.0,0.0
New York,2026-05-28,23.2,15.0,0.0
New York,2026-05-29,24.9,11.2,0.0
New York,2026-05-30,19.3,10.5,0.2
New York,2026-05-31,22.8,12.4,0.0
New York,2026-06-01,17.8,13.8,2.4
New York,2026-06-02,16.7,12.0,1.8
Tokyo,2026-05-28,22.4,20.0,0.8
Tokyo,2026-05-29,28.0,19.3,0.0
Tokyo,2026-05-30,27.4,15.6,0.0
Tokyo,2026-05-31,29.1,19.1,0.0
Tokyo,2026-06-01,32.2,19.5,0.0
Tokyo,2026-06-02,27.2,20.2,0.6
Tokyo,2026-06-03,21.9,19.9,24.8
