channel,month,month_num,tickets_total,tickets_auto,automation_rate,latency_ms,satisfaction,cost_per_ticket,quarter,health,bot_savings,bot_roi
Email,Jan,1,4068,2255,0.555,3631,4.15,2.42,Q1,Improving,2.8860000000000006,1.1925619834710746
Email,Feb,2,4258,2335,0.548,3403,4.1,2.56,Q1,Improving,2.8496,1.113125
Email,Mar,3,4382,2625,0.599,3427,4.18,2.43,Q1,Improving,3.1148,1.2818106995884773
Email,Apr,4,4372,2584,0.591,3212,4.16,2.42,Q2,Improving,3.0732,1.2699173553719008
Email,May,5,4282,2651,0.619,3535,4.12,2.24,Q2,Improving,3.2188,1.4369642857142855
Email,Jun,6,4477,2841,0.635,3350,4.16,2.24,Q2,Improving,3.302,1.4741071428571428
Email,Jul,7,4400,3036,0.69,3164,4.12,1.97,Q3,Improving,3.5879999999999996,1.8213197969543145
Email,Aug,8,4479,3103,0.693,3071,4.12,1.96,Q3,Improving,3.6035999999999997,1.8385714285714285
Email,Sep,9,4604,3246,0.705,3058,4.18,1.84,Q3,Healthy,3.666,1.9923913043478259
Email,Oct,10,4687,3352,0.715,3156,4.2,1.79,Q4,Healthy,3.718,2.077094972067039
Email,Nov,11,4699,3450,0.734,2855,4.16,1.63,Q4,Healthy,3.8168,2.3415950920245403
Email,Dec,12,4627,3416,0.738,3265,4.13,1.76,Q4,Healthy,3.8376,2.1804545454545456
Chat,Jan,1,6434,4470,0.695,907,4.37,1.96,Q1,Improving,3.614,1.8438775510204082
Chat,Feb,2,6496,4832,0.744,868,4.4,1.61,Q1,Healthy,3.8688000000000002,2.402981366459627
Chat,Mar,3,6409,4645,0.725,838,4.38,1.74,Q1,Healthy,3.77,2.1666666666666665
Chat,Apr,4,6611,5066,0.766,874,4.4,1.48,Q2,Healthy,3.9832,2.6913513513513516
Chat,May,5,6630,5137,0.775,841,4.35,1.35,Q2,Healthy,4.03,2.9851851851851854
Chat,Jun,6,6733,5300,0.787,846,4.4,1.45,Q2,Healthy,4.0924000000000005,2.8223448275862073
Chat,Jul,7,6870,5509,0.802,817,4.38,1.16,Q3,Healthy,4.170400000000001,3.5951724137931045
Chat,Aug,8,6697,5239,0.782,783,4.4,1.34,Q3,Healthy,4.066400000000001,3.034626865671642
Chat,Sep,9,7273,5893,0.81,799,4.42,1.19,Q3,Healthy,4.212000000000001,3.5394957983193285
Chat,Oct,10,6899,5691,0.825,789,4.43,1.04,Q4,Healthy,4.29,4.125
Chat,Nov,11,7196,6091,0.847,768,4.33,1.11,Q4,Healthy,4.4044,3.9679279279279274
Chat,Dec,12,7260,6127,0.844,782,4.48,1.09,Q4,Healthy,4.3888,4.026422018348623
Phone,Jan,1,2111,347,0.165,14153,3.91,4.73,Q1,At-risk,0.8580000000000001,0.1813953488372093
Phone,Feb,2,2213,427,0.193,13009,3.83,4.4,Q1,At-risk,1.0036,0.2280909090909091
Phone,Mar,3,2055,390,0.19,14097,3.84,4.36,Q1,At-risk,0.9880000000000001,0.22660550458715598
Phone,Apr,4,2182,411,0.189,14061,3.95,4.81,Q2,At-risk,0.9828,0.20432432432432435
Phone,May,5,2121,462,0.218,11907,3.89,4.28,Q2,At-risk,1.1336,0.2648598130841121
Phone,Jun,6,2166,463,0.214,13067,3.92,4.4,Q2,At-risk,1.1128,0.2529090909090909
Phone,Jul,7,2160,487,0.226,11904,3.85,4.32,Q3,At-risk,1.1752,0.272037037037037
Phone,Aug,8,2255,591,0.263,13454,3.86,4.02,Q3,At-risk,1.3676000000000001,0.34019900497512445
