city,time,temperature_2m_max,temperature_2m_min,precipitation_sum
Berlin,2026-05-15,15.1,5.2,0.4
Berlin,2026-05-16,14.4,6.7,0.0
Berlin,2026-05-17,17.4,6.7,0.0
Berlin,2026-05-18,20.5,9.0,0.0
Berlin,2026-05-19,20.7,9.6,0.0
Berlin,2026-05-20,21.2,13.8,3.6
Berlin,2026-05-21,23.1,12.4,0.0
London,2026-05-15,13.5,6.7,0.3
London,2026-05-16,15.4,6.9,0.7
London,2026-05-17,15.5,10.6,4.62
London,2026-05-18,14.3,8.6,0.6
London,2026-05-19,17.5,11.0,5.7
London,2026-05-20,21.8,11.6,0.0
London,2026-05-21,23.4,12.2,0.0
New York,2026-05-15,19.7,8.7,0.0
New York,2026-05-16,28.1,10.1,0.0
New York,2026-05-17,26.0,17.7,0.1
New York,2026-05-18,22.5,17.1,0.0
New York,2026-05-19,31.2,16.8,0.0
New York,2026-05-20,31.1,20.4,7.2
New York,2026-05-21,20.0,14.0,2.1
Tokyo,2026-05-15,22.4,12.9,0.0
Tokyo,2026-05-16,24.1,14.0,0.0
Tokyo,2026-05-17,28.0,13.5,0.0
Tokyo,2026-05-18,28.6,13.8,0.0
Tokyo,2026-05-19,31.5,20.1,0.0
Tokyo,2026-05-20,30.0,19.5,0.9
Tokyo,2026-05-21,20.5,16.0,23.4
