request_id,model,segment,quarter,tokens_in,tokens_out,latency_ms
req_001,gpt-4o,SMB,Q3,1709,242,1653
req_002,claude-haiku,Mid-market,Q2,1708,485,1637
req_003,gpt-4o,Enterprise,Q3,1027,107,1513
req_004,gpt-4o,Mid-market,Q3,1896,349,1534
req_005,claude-haiku,Enterprise,Q1,1260,380,4166
req_006,gpt-4o,Enterprise,Q1,1819,248,2143
req_007,gpt-4o,Enterprise,Q3,1925,94,1192
req_008,gpt-4o-mini,Mid-market,Q2,1191,290,1463
req_009,gpt-4o-mini,Mid-market,Q3,648,250,2260
req_010,gpt-4o-mini,Mid-market,Q2,393,444,2080
req_011,gpt-4o-mini,SMB,Q1,1178,360,1947
req_012,gpt-4o,Mid-market,Q1,481,211,4308
req_013,gpt-4o,Mid-market,Q2,1530,85,4006
req_014,gpt-4o-mini,SMB,Q4,1864,319,2921
req_015,claude-haiku,Enterprise,Q2,581,183,4449
req_016,gpt-4o,SMB,Q2,1158,360,2058
req_017,gpt-4o-mini,SMB,Q3,212,440,1308
req_018,gpt-4o,SMB,Q4,459,216,1804
req_019,gpt-4o-mini,Enterprise,Q2,829,457,1130
req_020,claude-haiku,Enterprise,Q3,1782,288,4322
req_021,gpt-4o,Enterprise,Q2,1942,293,1610
req_022,gpt-4o-mini,SMB,Q3,1326,396,2444
req_023,claude-haiku,Enterprise,Q2,1216,407,1548
req_024,gpt-4o-mini,Mid-market,Q3,1191,460,4427
req_025,gpt-4o,Mid-market,Q3,233,499,1384
req_026,gpt-4o-mini,SMB,Q3,827,126,2707
req_027,gpt-4o,Mid-market,Q4,1968,241,4317
req_028,claude-haiku,Enterprise,Q1,892,470,2728
req_029,claude-haiku,Mid-market,Q3,521,195,4126
req_030,claude-haiku,SMB,Q2,570,62,4117
req_031,claude-haiku,Mid-market,Q2,1461,313,3641
req_032,claude-haiku,SMB,Q1,191,391,3548
req_033,claude-haiku,Enterprise,Q1,1942,386,2933
req_034,gpt-4o,Enterprise,Q2,1767,416,2948
req_035,gpt-4o,SMB,Q4,1186,343,3876
req_036,gpt-4o,Mid-market,Q1,999,120,2378
req_037,gpt-4o,Enterprise,Q2,1551,432,4299
req_038,claude-haiku,Enterprise,Q4,1149,244,4049
req_039,claude-haiku,Enterprise,Q4,1017,432,2185
req_040,gpt-4o,Mid-market,Q1,725,418,2323
req_041,claude-haiku,SMB,Q1,959,486,3443
req_042,gpt-4o-mini,Enterprise,Q3,1532,66,4214
req_043,gpt-4o,Mid-market,Q1,223,441,1157
req_044,gpt-4o-mini,SMB,Q2,167,336,1054
req_045,gpt-4o,SMB,Q2,1474,273,1718
req_046,claude-haiku,Mid-market,Q4,819,408,2390
req_047,gpt-4o-mini,Enterprise,Q1,1631,478,1402
req_048,gpt-4o-mini,Mid-market,Q3,177,285,2722
req_049,claude-haiku,Mid-market,Q3,1825,98,2802
req_050,gpt-4o-mini,Enterprise,Q1,351,379,4318
