channel,month,month_num,tickets_total,tickets_auto,automation_rate,latency_ms,satisfaction,cost_per_ticket
Email,Jan,1,4068,2255,0.555,3631,4.15,2.42
Email,Feb,2,4258,2335,0.548,3403,4.1,2.56
Email,Mar,3,4382,2625,0.599,3427,4.18,2.43
Email,Apr,4,4372,2584,0.591,3212,4.16,2.42
Email,May,5,4282,2651,0.619,3535,4.12,2.24
Email,Jun,6,4477,2841,0.635,3350,4.16,2.24
Email,Jul,7,4400,3036,0.69,3164,4.12,1.97
Email,Aug,8,4479,3103,0.693,3071,4.12,1.96
Email,Sep,9,4604,3246,0.705,3058,4.18,1.84
Email,Oct,10,4687,3352,0.715,3156,4.2,1.79
Email,Nov,11,4699,3450,0.734,2855,4.16,1.63
Email,Dec,12,4627,3416,0.738,3265,4.13,1.76
Chat,Jan,1,6434,4470,0.695,907,4.37,1.96
Chat,Feb,2,6496,4832,0.744,868,4.4,1.61
Chat,Mar,3,6409,4645,0.725,838,4.38,1.74
Chat,Apr,4,6611,5066,0.766,874,4.4,1.48
Chat,May,5,6630,5137,0.775,841,4.35,1.35
Chat,Jun,6,6733,5300,0.787,846,4.4,1.45
Chat,Jul,7,6870,5509,0.802,817,4.38,1.16
Chat,Aug,8,6697,5239,0.782,783,4.4,1.34
Chat,Sep,9,7273,5893,0.81,799,4.42,1.19
Chat,Oct,10,6899,5691,0.825,789,4.43,1.04
Chat,Nov,11,7196,6091,0.847,768,4.33,1.11
Chat,Dec,12,7260,6127,0.844,782,4.48,1.09
Phone,Jan,1,2111,347,0.165,14153,3.91,4.73
Phone,Feb,2,2213,427,0.193,13009,3.83,4.4
Phone,Mar,3,2055,390,0.19,14097,3.84,4.36
Phone,Apr,4,2182,411,0.189,14061,3.95,4.81
Phone,May,5,2121,462,0.218,11907,3.89,4.28
Phone,Jun,6,2166,463,0.214,13067,3.92,4.4
Phone,Jul,7,2160,487,0.226,11904,3.85,4.32
Phone,Aug,8,2255,591,0.263,13454,3.86,4.02
Phone,Sep,9,2222,510,0.23,14002,3.83,4.39
Phone,Oct,10,2347,559,0.238,12728,3.87,4.26
Phone,Nov,11,2338,584,0.25,12039,3.82,4.07
Phone,Dec,12,2430,657,0.271,12249,3.89,4.12
Web Form,Jan,1,3321,2223,0.67,5876,4.06,2.06
Web Form,Feb,2,3351,2305,0.688,5565,3.95,2.09
Web Form,Mar,3,3348,2363,0.706,5743,4.1,1.72
Web Form,Apr,4,3462,2359,0.682,5669,4.01,1.94
Web Form,May,5,3571,2553,0.715,5737,4.06,1.58
Web Form,Jun,6,3381,2448,0.724,5296,3.99,1.7
Web Form,Jul,7,3366,2537,0.754,5576,4.02,1.55
Web Form,Aug,8,3584,2759,0.77,5863,4.04,1.43
Web Form,Sep,9,3588,2750,0.767,5471,3.99,1.52
Web Form,Oct,10,3846,3032,0.788,5854,4.01,1.37
Web Form,Nov,11,3571,2778,0.778,5363,4.11,1.38
Web Form,Dec,12,3450,2777,0.805,5165,4.01,1.26
Social,Jan,1,1396,470,0.337,2189,3.87,3.96
Social,Feb,2,1367,493,0.361,2588,4.1,3.51
Social,Mar,3,1442,583,0.404,2544,3.92,3.37
Social,Apr,4,1460,659,0.452,2270,3.98,3.01
Social,May,5,1444,673,0.466,2311,3.97,3.12
Social,Jun,6,1476,760,0.515,2295,4.02,2.82
Social,Jul,7,1497,777,0.519,2216,4.12,2.96
Social,Aug,8,1465,828,0.566,2076,4.1,2.58
Social,Sep,9,1438,858,0.597,2270,4.07,2.28
Social,Oct,10,1537,942,0.613,2146,4.04,2.3
Social,Nov,11,1546,999,0.646,2267,3.94,2.12
Social,Dec,12,1566,1069,0.683,2044,4.0,1.98
